name,value,iso
Singapore,23,SGP
Afghanistan,27.7,AFG
Bangladesh,20.3,BGD
Cambodia,20,KHM
China,24.9,CHN
India,11.8,IND
Indonesia,19.8,IDN
Iran,5.9,IRN
Iraq,25.5,IRQ
Japan,10.1,JPN
Malaysia,13.9,MYS
Nepal,32.7,NPL
Pakistan,20.6,PAK
Philippines,29.5,PHL
Saudi Arabia,19.9,SAU
Vietnam,26.7,VNM
Mongolia,17.1,MNG
Angola,30.5,AGO
Niger,17,NER
Libya,16,LBY
Morocco,20.5,MAR
Nigeria,5.6,NGA
Algeria,25.8,DZA
Yemen,0.3,YEM
Oman,1.2,OMN
Russia,15.8,RUS
Poland,28,POL
France,39.6,FRA
Spain,39.1,ESP
Portugal,34.8,PRT
Italy,35.7,ITA
Thailand,5.3,THA
Turkmenistan,24.8,TKM
Uzbekistan,16,UZB
Kazakhstan,27.1,KAZ
Sudan,30.5,SDN
Chad,15.3,TCD
Central African Republic,8.6,CAF
Democratic Republic of the Congo,8.9,COD
Zambia,18,ZMB
Mali,8.8,MLI
Mauritania,10.6,MRT
Ethiopia,38.8,ETH
Somalia,24.4,SOM
Kenya,21.8,KEN
Tanzania,37.2,TZA
Namibia,46.2,NAM
Canada,27,CAN
United States,19.6,USA
Mexico,48.2,MEX
Cuba,53.2,CUB
Venezuela,22.2,VEN
Guatemala,12.7,GTM
Colombia,18.1,COL
Peru,27.7,PER
Chile,22.6,CHL
Paraguay,15,PRY
Uruguay,12.1,URY
